10/19/22,2:46:19:189,KV- 5101  Position:  1
10/19/22,2:46:19:189,KV- 5102  Position:  0
10/19/22,2:46:19:190,KV- 5103  Position:  0
10/19/22,2:46:19:190,KV- 5104  Position:  0
10/19/22,2:46:19:190,KV- 5105  Position:  1
10/19/22,2:46:19:190,KV- 5106  Position:  0
10/19/22,2:46:19:190,KV- 5107  Position:  0
10/19/22,2:46:19:190,KV- 5108  Position:  1
10/19/22,2:46:19:190,YV- 5101  Position:  0
10/19/22,2:46:19:190,KV- 5109  Position:  0
10/19/22,2:46:19:191,KV- 5110  Position:  0
10/19/22,2:46:19:191,KV- 5115  Position:  0
10/19/22,2:46:19:191,KV- 5111  Position:  1
10/19/22,2:46:19:191,KV- 5116  Position:  0
10/19/22,2:46:19:191,KV- 5114  Position:  0
10/19/22,2:46:19:191,KV- 5117  Position:  0
10/19/22,2:46:19:191,KV- 5112  Position:  0
10/19/22,2:46:19:191,KV- 5113  Position:  0
10/19/22,2:46:19:191,KV- 6101  Position:  1
10/19/22,2:46:19:192,KV- 6102  Position:  0
10/19/22,2:46:19:192,KV- 6103  Position:  0
10/19/22,2:46:19:192,KV- 6104  Position:  0
10/19/22,2:46:19:192,KV- 6105  Position:  1
10/19/22,2:46:19:192,KV- 6106  Position:  0
10/19/22,2:46:19:192,KV- 6107  Position:  0
10/19/22,2:46:19:193,KV- 6110  Position:  0
10/19/22,2:46:19:194,KV- 6115  Position:  0
10/19/22,2:46:19:194,KV- 6111  Position:  1
10/19/22,2:46:19:194,KV- 6116  Position:  0
10/19/22,2:46:19:194,KV- 6114  Position:  0
10/19/22,2:46:19:194,KV- 6117  Position:  0
10/19/22,2:46:19:194,KV- 6112  Position:  0
10/19/22,2:46:19:194,KV- 6113  Position:  0
10/19/22,2:46:19:193,YV- 6101  Position:  0
10/19/22,2:46:19:193,KV- 6109  Position:  0
10/19/22,2:46:19:193,KV- 6108  Position:  1
10/19/22,2:46:27:631,SPM to PLC ShowData:: 1022
10/19/22,2:46:27:632,MW2203 SPM Data Current Val:: 1022
10/19/22,2:46:27:893,FireSpire- 1  MixTank Pressure::  5.3
10/19/22,2:46:27:924,FireSpire- 1  HydrogenTank Pressure::  3102.7
10/19/22,2:46:27:954,FireSpire- 1  Pilot Pressure::  143.7
10/19/22,2:46:27:992,FireSpire- 1  LELSensor 1 Level::  0.5
10/19/22,2:46:28:024,FireSpire- 1  LELSensor 2 Level::  0.2
10/19/22,2:46:28:054,FireSpire- 1  Oxygen Level::  20.9
10/19/22,2:46:28:085,FireSpire- 2  MixTank Pressure::  5.1
10/19/22,2:46:28:117,FireSpire- 2  HydrogenTank Pressure::  3223.9
10/19/22,2:46:28:141,FireSpire- 2  Pilot Pressure::  146
10/19/22,2:46:28:170,FireSpire- 2  LELSensor 1 Level::  0.2
10/19/22,2:46:28:201,FireSpire- 2  LELSensor 2 Level::  0.3
10/19/22,2:46:28:230,FireSpire- 2  Oxygen Level::  20.4
10/19/22,2:46:28:272,FireSpire- 3  MixTank Pressure::  5.4
10/19/22,2:46:28:305,FireSpire- 3  HydrogenTank Pressure::  3032.8
10/19/22,2:46:28:336,FireSpire- 3  Pilot Pressure::  144.1
10/19/22,2:46:28:365,FireSpire- 3  LELSensor 1 Level::  0.2
10/19/22,2:46:28:397,FireSpire- 3  LELSensor 2 Level::  0.1
10/19/22,2:46:28:428,FireSpire- 3  Oxygen Level::  20.8
10/19/22,2:46:28:458,FireSpire- 4  MixTank Pressure::  5.5
10/19/22,2:46:28:490,FireSpire- 4  HydrogenTank Pressure::  3169.8
10/19/22,2:46:28:518,FireSpire- 4  Pilot Pressure::  144.9
10/19/22,2:46:28:554,FireSpire- 4  LELSensor 1 Level::  0.3
10/19/22,2:46:28:589,FireSpire- 4  LELSensor 2 Level::  0.4
10/19/22,2:46:28:620,FireSpire- 4  Oxygen Level::  20.5
